,Center Name,District,District ID
0,BJR HOSPITAL,Nicobar,3
1,CAMPBELLBAY PHC,Nicobar,3
2,NANCOWRY CHC,Nicobar,3
3,BARATANG PHC,North and Middle Andaman,1
4,BILLIGROUND PHC,North and Middle Andaman,1
5,DIGLIPUR CHC,North and Middle Andaman,1
6,DR.RP HOSPITAL,North and Middle Andaman,1
7,KADAMTALA PHC,North and Middle Andaman,1
8,KALIGHAT PHC,North and Middle Andaman,1
9,KISHORINAGAR PHC,North and Middle Andaman,1
10,RADHA NAGAR PHC,North and Middle Andaman,1
11,RANGAT CHC,North and Middle Andaman,1
12,TUGAPUR PHC,North and Middle Andaman,1
13,DIARY FARM UHC,South Andaman,2
14,HADDO UHC,South Andaman,2
15,JNRM -FLW,South Andaman,2
16,JNRM COVID CARE CENTER,South Andaman,2
17,MANGLUTAN PHC,South Andaman,2
18,PANCHAYAT HALL( PHC CHOULDARI),South Andaman,2
19,PHC GHARACHARMA,South Andaman,2
20,PHC SWARAJ DWEEP,South Andaman,2
21,10TH WARD SACHIVALYAM,Anantapur,9
22,14TH WARD SACHIVALYAM,Anantapur,9
23,20TH WARD SACHIVALYAM,Anantapur,9
24,AMARAPURAM 1 SACHIVALYAM,Anantapur,9
25,AMBEDKAR NAGAR MUNICIPAL OFFIC,Anantapur,9
26,BASAVANPALLI SACHIVALYAM,Anantapur,9
27,BC BOYS HOSTEL,Anantapur,9
28,BC BOYS HOSTEL GORANTLA,Anantapur,9
29,BEEREPALLI SACHIVALAYAM,Anantapur,9
30,BUKKAPATNAM PHC,Anantapur,9
31,BULLASAMUDRAM SACHIVALYAM,Anantapur,9
32,COLLECTORATE ANANTHAPURAMU,Anantapur,9
33,CPI COLONY-2 WARD SACHIVALAYAM,Anantapur,9
34,DABURIVARIPALLI SACHIVALYAM,Anantapur,9
35,DEIC ANANTHAPURAMU,Anantapur,9
36,EDDULAPALLI PHC,Anantapur,9
37,GOVT JR COLLEGE NARPALA,Anantapur,9
38,GOVT JR COLLEGE TALUPULA,Anantapur,9
39,GUTTUR PHC,Anantapur,9
40,ILLURU SUB CENTRE,Anantapur,9
41,KOKKANTI PHC,Anantapur,9
42,KRISHNAPURAM SACHIVALYAM,Anantapur,9
43,KUDAIR PHC,Anantapur,9
44,LAKSHAMPALLI SUB CENTRE,Anantapur,9
45,MATHANGI NAGAR SACHIVALAYAM,Anantapur,9
46,MGM CAMPUS WARD SACHIVALAYAM-6,Anantapur,9
47,NALLACHERUVU PHC,Anantapur,9
