,officename,pincode,Districtname,longitude,latitude
0,Achalapur B.O,504273,Adilabad,79.6053,19.2244
1,Ada B.O,504293,Adilabad,79.1774,19.4108
2,Adegaon B.O,504307,Adilabad,78.4525,19.4128
3,Adilabad Collectorate S.O,504001,Adilabad,78.5434,19.6531
4,Agm Colony S.O,504251,Adilabad,79.5379,19.0561
5,Akoli B.O,504309,Adilabad,78.6796,19.7087
6,Alegaon B.O,504201,Adilabad,79.7176,18.7845
7,Aloor B.O,504110,Adilabad,78.1792,19.2077
8,Ambaripet B.O,504202,Adilabad,78.8156,19.1073
9,Andavelli B.O,504296,Adilabad,79.4929,19.3354
10,Andugulpet B.O,504231,Adilabad,79.4591,18.9929
11,Andukur B.O,504109,Adilabad,78.08800000000001,19.155
12,Ankhoda B.O,504299,Adilabad,79.7848,19.4227
13,Ankoli B.O,504002,Adilabad,78.1917,19.2833
14,Arepally B.O,504204,Adilabad,79.6839,18.9117
15,Arli (T) B.O,504312,Adilabad,78.407,19.738
16,Ashepally B.O,504313,Adilabad,78.9741,19.375
17,Ashta B.O,504101,Adilabad,78.0424,18.9649
18,Badampally B.O,504205,Adilabad,78.9515,19.1625
19,Badankurthy B.O,504203,Adilabad,78.6115,19.2588
20,Bambara B.O,504295,Adilabad,79.3353,19.4907
21,Bangalpet B.O,504106,Adilabad,78.3046,19.0637
22,Bansapalli B.O,504306,Adilabad,78.2248,19.1171
23,Bazar Hathnur B.O,504304,Adilabad,78.2704,19.401
24,Beltharoda B.O,504103,Adilabad,77.95100000000001,19.1928
25,Bharampur B.O,504308,Adilabad,78.4525,19.5534
26,Bheempur B.O,504311,Adilabad,78.793,19.3639
27,Boyapalli B.O,504272,Adilabad,79.4816,19.1821
28,Buggaram B.O,504323,Adilabad,78.3159,19.2634
29,Chandaram B.O,504215,Adilabad,79.2113,18.9082
30,Chichdhari Khanapur B.O,504346,Adilabad,78.7703,19.5267
31,Chintalchanda B.O,504310,Adilabad,78.4979,19.0876
32,Chirrakunta S.O,504294,Adilabad,79.1549,19.1982
33,Coal Chemical Complex S.O,504302,Adilabad,79.4816,18.8534
34,Dandepalli S.O,504206,Adilabad,79.1323,19.0326
35,Dehgaon B.O,504102,Adilabad,77.9053,19.0026
36,Devapur Cement Works S.O,504218,Adilabad,79.3691,19.0582
37,Donabanda S.O,504207,Adilabad,79.2677,18.9936
38,Gadapur B.O,504209,Adilabad,79.3466,18.8691
39,Gadchanda B.O,504104,Adilabad,78.1336,19.0176
40,Gangapur B.O,504292,Adilabad,79.3578,19.2806
41,Ginnedhari B.O,504297,Adilabad,79.2338,19.1911
42,Girvelli B.O,504219,Adilabad,79.7176,19.1133
43,Grain Market S.O (Adilabad),504208,Adilabad,79.4366,18.8743
44,Indaram B.O,504216,Adilabad,79.5828,18.8709
45,Jangaon B.O,504214,Adilabad,79.8745,18.9575
46,Kadthal B.O,504105,Adilabad,78.3728,19.0212
47,Kyathanpalli B.O,504301,Adilabad,79.4591,18.9225
48,Madaram Township S.O,504220,Adilabad,79.3578,19.1397
49,RGU IIIT Campus Basar S.O,504107,Adilabad,77.9225,18.8694
50,Srirampur Colony S.O,504303,Adilabad,79.5126,18.864
51,Abadighanpur S.O,506144,Warangal,79.3691,17.8865
52,Abbapur B.O,506343,Warangal,79.9528,18.152
53,Abdulnagaram B.O,506145,Warangal,79.3128,17.9185
54,Adavikamalapur B.O,506169,Warangal,79.8633,18.4287
55,Ainapur B.O,506355,Warangal,78.8722,17.9053
56,Akinepalli B.O,506366,Warangal,79.6165,18.3215
57,Akinepalli Mallaram B.O,506172,Warangal,80.5216,18.1692
58,Akkampet B.O,506342,Warangal,79.7288,18.0464
59,Akkarajpalli B.O,506224,Warangal,79.1661,17.8986
60,Aknoor B.O,506223,Warangal,78.9515,17.9449
61,Alimpur B.O,506221,Warangal,79.0419,17.8098
62,Ananthasagar B.O,506371,Warangal,79.5041,18.0811
63,Ankannagudem B.O,506352,Warangal,80.0423,18.1332
64,Ankushapur B.O,506367,Warangal,79.0871,17.9526
65,Appireddipalli B.O,506303,Warangal,79.2677,17.6354
66,Aswaraopalli B.O,506244,Warangal,79.2677,17.7757
67,Bapujinagar S.O (Warangal),506003,Warangal,79.5266,17.9418
68,Beeravelli B.O,506344,Warangal,80.3213,18.2296
69,Bhagirathipet B.O,506345,Warangal,79.9864,18.4235
70,Bheemaram B.O,506015,Warangal,79.566,18.0669
71,Bittupalli B.O,506347,Warangal,80.1429,18.1267
72,Bollonipalli B.O,506349,Warangal,79.8734,18.0779
73,Bommera B.O,506252,Warangal,79.4029,17.7363
74,Buttaigudem B.O,506165,Warangal,80.3213,18.5114
75,Chagal S.O,506301,Warangal,79.2789,17.8347
76,Chainpak B.O,506170,Warangal,79.8325,18.383
77,Challagarige B.O,506356,Warangal,79.6727,18.4066
78,Chelpur S.O,506168,Warangal,79.8409,18.3571
79,Chennapur B.O,506319,Warangal,79.7288,18.1167
80,Cherlapalli B.O,506391,Warangal,79.639,18.1587
81,Chitakodur B.O,506175,Warangal,79.1722,17.7218
82,D H Suthoon S.O,506011,Warangal,79.5744,18.0117
83,Dammannapet B.O,506348,Warangal,79.7736,18.3066
84,Devannapet B.O,506370,Warangal,79.4816,18.0096
85,Devaruppal S.O,506302,Warangal,79.3578,17.6404
86,Dharmasagar B.O,506142,Warangal,79.3691,18.0034
87,Fatimanagar S.O,506004,Warangal,79.5294,17.98
88,Garmillapalli B.O,506143,Warangal,79.4029,17.8298
89,Gummadavalli B.O,506201,Warangal,79.1774,17.6772
90,Hanamkonda H.O,506001,Warangal,79.5514,17.9966
91,Janakipuram B.O,506151,Warangal,79.4141,17.9357
92,Jangaon H.O,506167,Warangal,79.1774,17.8174
93,Naimnagar S.O,506009,Warangal,79.5547,18.0312
94,Parkal H.O,506164,Warangal,79.7176,18.2215
95,Achampalli B.O,505445,Karim Nagar,79.008,18.5916
96,Adivipadira B.O,505305,Karim Nagar,78.5888,18.4847
97,Aggimalla B.O,505532,Karim Nagar,79.0871,18.7954
98,Ailapur S.O,505330,Karim Nagar,78.7306,18.8619
99,Aithpalli B.O,505531,Karim Nagar,79.0871,18.6079
100,Akkannapet B.O,505466,Karim Nagar,79.1887,18.0402
101,Algunur B.O,505527,Karim Nagar,79.1661,18.39
102,Allipur B.O,505460,Karim Nagar,78.8609,18.9694
103,Ambaripet B.O,505526,Karim Nagar,79.1774,18.8007
104,Ambaripet S.O,505306,Karim Nagar,78.7363,18.6691
105,Ammakkapet B.O,505450,Karim Nagar,78.5888,18.9528
106,Ananthagiri B.O,505402,Karim Nagar,78.9175,18.399
107,Ananthapalli B.O,505524,Karim Nagar,78.9401,18.5174
108,Annaram B.O,505469,Karim Nagar,79.2338,18.3704
109,Anpur B.O,505302,Karim Nagar,78.8609,18.500999999999998
110,Anthergaon B.O,505455,Karim Nagar,78.8722,18.771
111,Arepalli B.O,505001,Karim Nagar,79.1436,18.4355
112,Arevelli B.O,505452,Karim Nagar,78.9515,18.6937
113,Arnakonda B.O,505415,Karim Nagar,79.1661,18.554000000000002
114,Arpapalli B.O,505529,Karim Nagar,78.9628,18.8232
115,Asifnagar B.O,505401,Karim Nagar,78.9854,18.403
116,Atmakur B.O,505325,Karim Nagar,78.5888,18.8123
117,Badnapalli B.O,505405,Karim Nagar,78.8156,18.3111
118,Balarajpalli B.O,505403,Karim Nagar,78.7816,18.5314
119,Bandalingampalli B.O,505303,Karim Nagar,78.6909,18.3622
120,Bandankal B.O,505404,Karim Nagar,78.7249,18.259
121,Baswapur B.O,505473,Karim Nagar,79.0306,18.1716
122,Beerpur B.O,505454,Karim Nagar,78.9967,18.9307
123,Bejjanki S.O,505528,Karim Nagar,79.008,18.2638
124,Bheemaram B.O,505453,Karim Nagar,78.8043,18.7903
125,Bhushanraopet B.O,505462,Karim Nagar,78.6796,18.7242
126,Bonala B.O,505301,Karim Nagar,78.7363,18.4585
127,Cheppial B.O,505501,Karim Nagar,78.8949,18.6083
128,Chigurumamidi B.O,505467,Karim Nagar,79.1323,18.1423
129,Chittapur B.O,505331,Karim Nagar,78.7249,18.9612
130,Dammannapet B.O,505304,Karim Nagar,78.5888,18.2976
131,Deshrajpalli B.O,505451,Karim Nagar,79.0419,18.5116
132,Dharmapuri S.O,505425,Karim Nagar,79.0984,18.925
133,Galipalli B.O,505530,Karim Nagar,79.0871,18.3269
134,Indurthi B.O,505481,Karim Nagar,79.1661,18.2729
135,Jagtial H.O,505327,Karim Nagar,78.9232,18.8033
136,Jogapur B.O,505307,Karim Nagar,78.7363,18.5755
137,Koratla Bazar S.O,505326,Karim Nagar,78.7136,18.8316
138,Abhangapur B.O,509210,Mahabub Nagar,77.539,16.7442
139,Addakal B.O,509382,Mahabub Nagar,78.0424,16.6351
140,Advi Venkatapur B.O,509002,Mahabub Nagar,78.0081,16.7375
141,Alampally B.O,509352,Mahabub Nagar,77.4013,16.4119
142,Alampur S.O (Mahabub Nagar),509152,Mahabub Nagar,78.1336,15.8996
143,Alur B.O,509132,Mahabub Nagar,77.6765,16.1509
144,Alwalpad B.O,509133,Unnamed,77.834694,17.390654
145,Amerchinta S.O,509130,Mahabub Nagar,77.7223,16.4774
146,Ammapur B.O,509340,Mahabub Nagar,78.0424,16.8671
147,Angadi Raichur B.O,509336,Mahabub Nagar,77.539,16.976
148,Ankilla B.O,509371,Mahabub Nagar,77.7681,16.8045
149,Annasagar B.O,509407,Mahabub Nagar,77.539,16.8369
150,Antharam B.O,509335,Mahabub Nagar,77.95100000000001,16.9546
151,Anugonda B.O,509208,Mahabub Nagar,77.4931,16.4637
152,Arepally B.O,509131,Mahabub Nagar,77.8139,16.3439
153,Balajinagar B.O,509338,Mahabub Nagar,77.6765,17.1237
154,Bandarpally B.O,509409,Mahabub Nagar,77.7795,16.5386
155,Baswaipalli B.O,509204,Mahabub Nagar,77.8596,16.6708
156,Bhogaram B.O,509339,Mahabub Nagar,77.7223,16.9409
157,Bhuneed B.O,509411,Mahabub Nagar,77.6192,16.8998
158,Bhutpur B.O,509353,Mahabub Nagar,77.6192,16.5291
159,Bijwar B.O,509205,Mahabub Nagar,77.6307,16.6571
160,Bingidoddi B.O,509127,Mahabub Nagar,77.6307,16.0096
161,Bonkur B.O,509128,Mahabub Nagar,77.9053,16.0716
162,Boyagudem B.O,509129,Mahabub Nagar,77.539,16.1428
163,Buddaram B.O,509334,Mahabub Nagar,77.8939,16.8236
164,Chagapur B.O,509126,Mahabub Nagar,77.8139,15.974
165,Chinna Tandrapad B.O,509135,Mahabub Nagar,77.7223,15.9226
166,Chinnaporla B.O,509311,Mahabub Nagar,77.4931,16.6025
